,city,cloudiness,country,date,humidity,latitude,longitude,temperature,wind
0,upernavik,100,GL,1586650763,88,72.79,-56.15,-7.03,0.78
1,san quintin,17,MX,1586650758,73,30.48,-115.95,16.44,7.83
2,butaritari,88,KI,1586650641,74,3.07,172.79,28.91,4.63
3,tuktoyaktuk,20,CA,1586650683,84,69.45,-133.04,-14.0,5.1
4,port elizabeth,92,ZA,1586650824,49,-33.92,25.57,20.0,3.1
5,ushuaia,40,AR,1586650647,75,-54.8,-68.3,5.0,7.7
6,tilichiki,4,RU,1586651057,90,60.47,166.1,-10.0,2.31
7,barrow,90,US,1586650723,85,71.29,-156.79,-4.0,6.7
8,hermanus,100,ZA,1586650353,93,-34.42,19.23,17.22,8.05
9,severo-kurilsk,63,RU,1586651057,93,50.68,156.12,-0.72,3.75
10,los llanos de aridane,90,ES,1586651057,77,28.66,-17.92,19.0,4.6
11,bethel,1,US,1586650747,31,41.37,-73.41,11.11,2.6
12,taltal,23,CL,1586650993,77,-25.4,-70.48,16.86,1.87
13,albany,20,US,1586650436,30,42.6,-73.97,7.22,5.7
14,vaini,20,TO,1586650643,65,-21.2,-175.2,27.0,2.6
15,puerto ayora,75,EC,1586650723,74,-0.74,-90.35,28.0,5.1
16,magadan,93,RU,1586651058,90,59.57,150.8,-5.73,2.06
17,saint-georges,17,GD,1586650777,78,12.06,-61.75,25.95,7.27
18,todos santos,40,MX,1586651058,49,23.45,-110.22,24.44,6.2
19,rikitea,62,PF,1586650663,75,-23.12,-134.97,25.62,2.52
20,new norfolk,40,AU,1586650813,58,-42.78,147.06,13.33,8.7
21,port alfred,80,ZA,1586650633,89,-33.59,26.89,18.33,1.79
22,busselton,84,AU,1586650647,67,-33.65,115.33,22.22,4.17
23,saint george,1,US,1586650650,28,37.1,-113.58,21.11,7.2
24,provideniya,100,RU,1586650359,92,64.38,-173.3,0.45,3.09
25,atuona,48,PF,1586650692,66,-9.8,-139.03,28.27,2.58
26,faya,34,SA,1586651058,67,18.39,42.45,18.0,2.07
27,thompson,90,CA,1586650651,67,55.74,-97.86,-5.0,6.7
28,bluff,82,NZ,1586650643,52,-46.6,168.33,20.0,2.24
29,ancud,20,CL,1586650752,93,-41.87,-73.82,5.0,1.0
30,mar del plata,69,AR,1586650807,82,-38.0,-57.56,16.11,2.87
31,solton,7,RU,1586650867,89,52.84,86.48,-0.63,1.12
32,tasiilaq,85,GL,1586650707,53,65.61,-37.64,-3.0,5.1
33,kapaa,90,US,1586650630,83,22.08,-159.32,26.0,4.6
34,hobart,40,AU,1586650644,58,-42.88,147.33,13.33,8.7
35,pevek,44,RU,1586650652,91,69.7,170.31,-12.34,6.5
36,chervona sloboda,0,UA,1586651059,72,49.38,32.15,3.19,3.97
37,pingzhuang,0,CN,1586651059,33,42.04,119.29,10.0,5.45
38,marshall,1,US,1586651059,59,34.38,-86.33,19.0,2.1
39,najran,40,SA,1586650862,30,17.49,44.13,28.0,3.1
40,jamestown,1,US,1586650754,45,42.1,-79.24,6.67,3.6
41,surt,2,LY,1586651059,61,31.21,16.59,15.3,4.96
42,teya,0,RU,1586651059,94,60.38,92.63,-3.43,1.53
43,havelock,1,US,1586651059,54,34.88,-76.9,16.0,3.1
44,punta arenas,40,CL,1586650653,75,-53.15,-70.92,6.0,3.1
45,verkhnyaya inta,17,RU,1586651060,92,65.98,60.31,-10.67,2.69
46,makueni,72,KE,1586651060,69,-1.8,37.62,17.85,0.91
47,georgetown,20,MY,1586650723,88,5.41,100.34,28.0,1.17
48,kyabram,1,AU,1586651060,65,-36.32,145.05,15.0,4.72
49,lebu,0,CL,1586650760,70,-37.62,-73.65,11.95,6.75
50,brae,100,GB,1586651060,75,60.4,-1.35,8.0,13.4
51,katsuura,75,JP,1586650456,93,35.13,140.3,10.56,4.6
52,bakchar,25,RU,1586651060,97,57.02,82.07,-0.57,1.79
53,fortuna,90,US,1586650702,81,40.6,-124.16,13.89,5.1
54,husavik,90,IS,1586650799,69,66.04,-17.34,1.0,10.8
55,sinnamary,100,GF,1586650909,79,5.38,-52.95,26.31,5.86
56,vila franca do campo,20,PT,1586651060,76,37.72,-25.43,14.0,5.1
57,victoria,20,HK,1586650637,59,22.29,114.16,20.0,8.2
58,aklavik,5,CA,1586650982,49,68.22,-135.01,-4.0,3.6
59,castro,6,BR,1586650345,71,-24.79,-50.01,13.75,2.13
60,ribeira grande,0,PT,1586650883,73,38.52,-28.7,16.48,2.96
61,pozarevac,7,RS,1586651061,63,44.62,21.18,6.11,0.5
62,dinghai,75,CN,1586651061,87,26.28,119.79,15.0,3.0
63,bredasdorp,100,ZA,1586650779,60,-34.53,20.04,20.0,9.3
64,port lincoln,90,AU,1586650850,60,-34.73,135.87,14.63,3.46
65,luderitz,0,NA,1586651061,87,-26.65,15.16,14.0,2.1
66,hobyo,4,SO,1586651061,75,5.35,48.53,27.76,4.96
67,roma,1,US,1586650925,44,43.21,-75.46,5.56,3.1
68,rudnya,0,RU,1586651061,82,54.95,31.09,0.06,3.79
69,simplicio mendes,94,BR,1586651061,79,-7.85,-41.91,23.85,1.3
70,waipawa,29,NZ,1586650983,63,-41.41,175.52,18.0,11.8
71,srednekolymsk,82,RU,1586650722,96,67.45,153.68,-2.06,5.66
72,umm lajj,2,SA,1586651061,54,25.02,37.27,19.85,4.3
73,garut,17,ID,1586651062,70,-7.2,107.89,21.68,0.26
74,avarua,98,CK,1586650702,83,-21.21,-159.78,29.0,2.6
75,watertown,20,US,1586651062,31,42.37,-71.18,8.33,9.8
76,byron bay,1,AU,1586650883,49,-28.65,153.62,24.0,8.2
77,lompoc,75,US,1586650654,72,34.64,-120.46,22.22,6.7
78,port-gentil,100,GA,1586650639,87,-0.72,8.78,25.54,7.15
79,broken hill,0,AU,1586651047,47,-31.95,141.43,14.0,5.7
80,bandarbeyla,32,SO,1586651062,72,9.49,50.81,27.36,2.29
81,bambous virieux,75,MU,1586650742,83,-20.34,57.76,24.44,2.6
82,tautira,100,PF,1586651062,70,-17.73,-149.15,30.0,1.5
83,half moon bay,90,US,1586650860,81,37.46,-122.43,19.44,3.6
84,mehamn,82,NO,1586651062,95,71.04,27.85,-4.73,3.29
85,laguna,1,US,1586650763,63,38.42,-121.42,22.0,4.6
86,andapa,38,MG,1586651062,78,-14.65,49.65,19.81,1.21
87,kavieng,93,PG,1586650661,72,-2.57,150.8,28.79,1.04
88,karasburg,1,NA,1586651063,25,-28.02,18.75,17.42,4.54
89,guerrero negro,5,MX,1586650772,60,27.98,-114.06,17.82,8.88
90,iqaluit,90,CA,1586650972,73,63.75,-68.51,-4.0,4.1
91,kodiak,90,US,1586650755,80,57.79,-152.41,5.0,8.7
92,san patricio,40,MX,1586650739,74,19.22,-104.7,28.0,7.27
93,great bend,1,US,1586651063,15,38.36,-98.76,28.0,5.1
94,nouadhibou,0,MR,1586650855,68,20.93,-17.03,20.0,9.8
95,kahului,20,US,1586650618,58,20.89,-156.47,28.0,7.7
96,hithadhoo,5,MV,1586650719,67,-0.6,73.08,29.09,3.94
97,kruisfontein,95,ZA,1586650883,54,-34.0,24.73,16.31,2.67
98,mount gambier,90,AU,1586650778,62,-37.83,140.77,13.0,3.6
99,tiksi,66,RU,1586650738,91,71.69,128.87,-13.31,8.16
100,camana,69,PE,1586651063,78,-16.62,-72.71,22.4,2.73
101,tete,40,MZ,1586651063,88,-16.16,33.59,20.0,0.79
102,canutama,78,BR,1586651065,94,-6.53,-64.38,24.63,1.53
103,sergeyevka,98,KZ,1586651065,68,53.88,67.42,4.97,4.2
104,bara,100,NG,1586651065,18,10.37,10.73,27.9,0.53
105,chokurdakh,99,RU,1586650807,98,70.63,147.92,-1.6,6.02
106,alofi,98,NU,1586650700,66,-19.06,-169.92,29.0,5.1
107,sitka,20,US,1586650740,49,57.05,-135.33,8.0,1.5
108,chingirlau,93,KZ,1586650946,61,51.09,54.08,5.93,4.72
109,longyearbyen,20,SJ,1586650949,69,78.22,15.64,-22.0,2.6
110,bijie,100,CN,1586651066,50,27.31,105.29,9.02,1.0
111,saint-philippe,26,RE,1586650893,73,-21.36,55.77,24.0,2.1
112,ust-tsilma,73,RU,1586650996,95,65.44,52.15,-8.65,1.29
113,alamosa,75,US,1586651066,8,37.47,-105.87,16.0,4.6
114,saskylakh,11,RU,1586650752,90,71.92,114.08,-17.15,5.55
115,basco,96,PH,1586650652,78,20.45,121.97,25.3,9.05
116,hilo,90,US,1586650656,69,19.73,-155.09,27.0,4.1
117,hailar,0,CN,1586651066,31,49.2,119.7,9.74,1.59
118,north bend,1,US,1586651005,71,43.41,-124.22,15.56,8.2
119,namanga,89,KE,1586651066,60,-2.54,36.79,18.25,3.16
